"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Uncertainty-Aware Model-Based Reinforcement Learning: Methodology and Application in Autonomous Driving","J. Wu; Z. Huang; C. Lv","School of Mechanical and Aerospace Engineering, Nanyang Technological University, Singapore; School of Mechanical and Aerospace Engineering, Nanyang Technological University, Singapore; School of Mechanical and Aerospace Engineering, Nanyang Technological University, Singapore","IEEE Transactions on Intelligent Vehicles","23 Jan 2023","2023","8","1","194","203","To further improve learning efficiency and performance of reinforcement learning (RL), a novel uncertainty-aware model-based RL method is proposed and validated in autonomous driving scenarios in this paper. First, an action-conditioned ensemble model with the capability of uncertainty assessment is established as the environment model. Then, a novel uncertainty-aware model-based RL method is developed based on the adaptive truncation approach, providing virtual interactions between the agent and environment model, and improving RL’s learning efficiency and performance. The proposed method is then implemented in end-to-end autonomous vehicle control tasks, validated and compared with state-of-the-art methods under various driving scenarios. Validation results suggest that the proposed method outperforms the model-free RL approach with respect to learning efficiency, and model-based approach with respect to both efficiency and performance, demonstrating its feasibility and effectiveness.","2379-8904","","10.1109/TIV.2022.3185159","Agency for Science, Technology and Research (A*STAR); Advanced Manufacturing and Engineering; Young Individual Research(grant numbers:A2084c0156); Start-Up Grant; Nanyang Technological University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9802913","Model-based reinforcement learning;uncertainty awareness;adaptive truncation;autonomous driving","Autonomous vehicles;Adaptation models;Predictive models;Uncertainty;Virtual environments;Computational modeling;Task analysis","control engineering computing;learning (artificial intelligence);mobile robots;reinforcement learning","action-conditioned ensemble model;autonomous driving scenarios;end-to-end autonomous vehicle control tasks;environment model;learning efficiency;model-based approach;model-free RL approach;novel uncertainty-aware model-based RL method;uncertainty assessment;uncertainty-aware model-based reinforcement learning","","15","","40","IEEE","21 Jun 2022","","","IEEE","IEEE Journals"
"Fuzzy H∞ Control of Discrete-Time Nonlinear Markov Jump Systems via a Novel Hybrid Reinforcement Q-Learning Method","J. Wang; J. Wu; H. Shen; J. Cao; L. Rutkowski","Anhui Province Key Laboratory of Special Heavy Load Robot and the School of Electrical and Information Engineering, Anhui University of Technology, Ma’anshan, China; Anhui Province Key Laboratory of Special Heavy Load Robot and the School of Electrical and Information Engineering, Anhui University of Technology, Ma’anshan, China; School of Electrical and Information Engineering, Anhui University of Technology, Ma’anshan, China; School of Mathematics, Southeast University, Nanjing, China; AGH University of Science and Technology, Krakòw, Poland","IEEE Transactions on Cybernetics","17 Oct 2023","2023","53","11","7380","7391","In this article, a novel hybrid reinforcement  $Q$ -learning control method is proposed to solve the adaptive fuzzy  $H_{\infty }$  control problem of discrete-time nonlinear Markov jump systems based on the Takagi–Sugeno fuzzy model. First, the core problem of adaptive fuzzy  $H_{\infty }$  control is converted to solving fuzzy game coupled algebraic Riccati equation, which can hardly be solved by mathematical methods directly. To solve this problem, an offline parallel hybrid learning algorithm is first designed, where system dynamics should be known as a prior. Furthermore, an online parallel  $Q$ -learning hybrid learning algorithm is developed. The main characteristics of the proposed online hybrid learning algorithms are threefold: 1) system dynamics are avoided during the learning process; 2) compared with the policy iteration method, the restriction of the initial stable control policy is removed; and 3) compared with the value iteration method, a faster convergence rate can be obtained. Finally, we provide a tunnel diode circuit system model to validate the effectiveness of the present learning algorithm.","2168-2275","","10.1109/TCYB.2022.3220537","National Natural Science Foundation of China(grant numbers:62273006,62173001,61873002); Major Natural Science Foundation of Higher Education Institutions of Anhui Province(grant numbers:KJ2020ZD28); Natural Science Foundation for Excellent Young Scholars of Anhui Province(grant numbers:2108085Y21); Major Technologies Research and Development Special Program of Anhui Province(grant numbers:202003a05020001); Key Research and Development Projects of Anhui Province(grant numbers:202104a05020015); Open Project of China International Science and Technology Cooperation Base on Intelligent Equipment Manufacturing in Special Service Environment(grant numbers:ISTC2021KF04); Fundamental Research Funds for the Central Universities(grant numbers:2021ACOCP05); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9961931","Coupled algebraic Riccati equation (CARE);fuzzy H∞ control;hybrid reinforcement Q-learning;Markov jump nonlinear systems","Optimal control;Q-learning;System dynamics;Markov processes;Heuristic algorithms;Games;Convergence","","","","5","","46","IEEE","23 Nov 2022","","","IEEE","IEEE Journals"
"Deep Reinforcement Learning Acceleration for Real-Time Edge Computing Mixed Integer Programming Problems","G. Gerogiannis; M. Birbas; A. Leftheriotis; E. Mylonas; N. Tzanis; A. Birbas","Department of Electrical and Computer Engineering, University of Patras, Patras, Greece; Department of Electrical and Computer Engineering, University of Patras, Patras, Greece; Department of Electrical and Computer Engineering, University of Patras, Patras, Greece; Department of Electrical and Computer Engineering, University of Patras, Patras, Greece; Department of Electrical and Computer Engineering, University of Patras, Patras, Greece; Department of Electrical and Computer Engineering, University of Patras, Patras, Greece","IEEE Access","21 Feb 2022","2022","10","","18526","18543","In this work, we present the design and implementation of an ultra-low latency Deep Reinforcement Learning (DRL) FPGA based accelerator for addressing hard real-time Mixed Integer Programming problems. The accelerator exhibits ultra-low latency performance for both training and inference operations, enabled by training-inference parallelism, pipelined training, on-chip weights and replay memory, multi-level replication-based parallelism and DRL algorithmic modifications such as distribution of training over time. The design principles can be extended to support hardware acceleration for other relevant DRL algorithms (embedding the experience replay technique) with hard real time constraints. We evaluate the accuracy of the accelerator in a task offloading and resource allocation problem stemming from a Mobile Edge Computing (MEC/5G) scenario. The design has been implemented on a Xilinx Zynq Ultrascale+ MPSoC ZCU104 evaluation kit using High Level Synthesis. The accelerator achieves near optimal performance and exhibits a 10-fold decrease in training-inference execution latency when compared to a high-end CPU-based implementation.","2169-3536","","10.1109/ACCESS.2022.3147674","H2020 Project “ENERgy-efficient manufacturing system MANagement (ENERMAN)”(grant numbers:958478); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9696340","Accelerator;deep reinforcement learning;edge computing;FPGA;high level synthesis;mixed integer programming;5G","Training;Inference algorithms;Real-time systems;Artificial neural networks;Task analysis;Resource management;Field programmable gate arrays","distributed processing;field programmable gate arrays;high level synthesis;integer programming;learning (artificial intelligence);multiprocessing systems;resource allocation;system-on-chip","relevant DRL algorithms;experience replay technique;task offloading;resource allocation problem;mobile edge computing scenario;Xilinx Zynq Ultrascale+ MPSoC ZCU104 evaluation kit;optimal performance;training-inference execution;high-end CPU-based implementation;ultra-low latency performance;inference operations;training-inference parallelism;pipelined training;multilevel replication-based parallelism;DRL algorithmic modifications;design principles;hardware acceleration;real-time edge computing mixed integer programming problems;ultra-low latency deep reinforcement learning;real-time mixed integer programming problems","","2","","25","CCBY","28 Jan 2022","","","IEEE","IEEE Journals"
"A Fuzzy-Model-Based Approach to Optimal Control for Nonlinear Markov Jump Singularly Perturbed Systems: A Novel Integral Reinforcement Learning Scheme","H. Shen; Y. Wang; J. Wang; J. H. Park","AnHui Province Key Laboratory of Special Heavy Load Robot and the School of Electrical and Information Engineering, Anhui University of Technology, Ma'anshan, China; AnHui Province Key Laboratory of Special Heavy Load Robot and the School of Electrical and Information Engineering, Anhui University of Technology, Ma'anshan, China; AnHui Province Key Laboratory of Special Heavy Load Robot and the School of Electrical and Information Engineering, Anhui University of Technology, Ma'anshan, China; Department of Electrical Engineering, Yeungnam University, Kyongsan, South Korea","IEEE Transactions on Fuzzy Systems","5 Oct 2023","2023","31","10","3734","3740","A fuzzy-model-based approach is developed to investigate the reinforcement learning-based optimization for nonlinear Markov jump singularly perturbed systems. As the first attempt, an offline parallel iteration learning algorithm is presented to solve the coupled algebraic Riccati equations with singular perturbation and jumping parameters. Furthermore, based on the integral reinforcement learning approach, a novel online parallel learning algorithm is proposed by employing the slow and fast sampled data simultaneously, where the impacts of stochastic jumping and ill-conditioned numerical problems are avoided. Meanwhile, the convergence of the proposed learning algorithms is proved. Finally, we present a tunnel diode circuit model to demonstrate the efficacy of the proposed methods.","1941-0034","","10.1109/TFUZZ.2023.3265666","National Research Foundation of Korea; Ministry of Science and Information and Communications Technology(grant numbers:2019R1A5A8080290); National Natural Science Foundation of China(grant numbers:62273006,62173001,61873002); Natural Science Foundation for Distinguished Young Scholars of Higher Education Institutions of Anhui Province(grant numbers:2022AH020034); Natural Science Foundation for Excellent Young Scholars of Higher Education Institutions of Anhui Province(grant numbers:2022AH030049); Major Natural Science Foundation of Higher Education Institutions of Anhui Province(grant numbers:KJ2020ZD28); Natural Science Foundation for Excellent Young Scholars of Anhui Province(grant numbers:2108085Y21); Major Technologies Research and Development Special Program of Anhui Province(grant numbers:202003a05020001); Key research and development projects of Anhui Province(grant numbers:202104a05020015); Open Project of China International Science and Technology Cooperation Base on Intelligent Equipment Manufacturing in Special Service Environment(grant numbers:ISTC2021KF04); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10098903","Fuzzy-model-based approach;Markov jump singularly perturbed systems (MJSPSs);parallel algorithm;reinforcement learning (RL)","Markov processes;Optimal control;Parallel algorithms;Heuristic algorithms;Reinforcement learning;System dynamics;Fuzzy systems","","","","","","37","CCBYNCND","11 Apr 2023","","","IEEE","IEEE Journals"
"Toward Intelligent Connected E-Mobility: Energy-Aware Cooperative Driving With Deep Multiagent Reinforcement Learning","X. He; C. Lv","Nanyang Technological University, Singapore; Nanyang Technological University, Singapore","IEEE Vehicular Technology Magazine","18 Sep 2023","2023","18","3","101","109","In recent years, electrified mobility (e-mobility), especially connected and autonomous electric vehicles (CAEVs), has been gaining momentum along with the rapid development of emerging technologies such as artificial intelligence (AI) and Internet of Things. The social benefits of CAEVs are manifested in the form of safer transportation, lower energy consumption, and reduced congestion and emissions. Nevertheless, it is highly difficult to design driving policies that ensure road safety, travel efficiency, and energy conservation for all CAEVs in traffic flows, particularly in a mixed-autonomy scenario where both CAEVs and human-driven vehicles (HDVs) are on the road and interact with each other. Here we present a novel deep multiagent reinforcement learning (DMARL)-enabled energy-aware cooperative driving solution, facilitating CAEVs to learn vehicular platoon management policies for guaranteeing overall traffic flow performance. Specifically, with the aid of information communication technology (ICT), CAEVs can share their vehicle state and learned knowledge, such as their state of charge (SoC), speed, and driving policies. Additionally, a cooperative multiagent actor–critic (CMAAC) technique is developed to optimize vehicular platoon management policies that map perceptual information directly to the group decision-making behaviors for the CAEV platoon. The proposed approach is evaluated in highway on-ramp merging scenarios with two different mixed-autonomy traffic flows. The results demonstrate the benefits of our scheme. Finally, we discuss the challenges and potential research directions for the proposed energy-aware cooperative driving solution.","1556-6080","","10.1109/MVT.2023.3291171","Advanced Manufacturing and Engineering (AME) Young Individual Research(grant numbers:A2084c0156); ANR-NRF(grant numbers:NRF2021-NRF-ANR003 HM Science); MTC(grant numbers:M22K2c0079); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10190753","","Decision making;Task analysis;Artificial intelligence;Safety;Batteries;Energy consumption;Energy conservation;Electric vehicles;Autonomous vehicles","automotive electric vehicles;battery powered vehicles;control engineering computing;decision making;deep learning (artificial intelligence);electric vehicle charging;energy conservation;energy consumption;intelligent transportation systems;Internet of Things;mobile robots;multi-agent systems;multi-robot systems;reinforcement learning;road safety;road traffic control;road vehicles;traffic engineering computing;transportation","artificial intelligence;CAEV platoon;CMAAC technique;connected and autonomous electric vehicles;cooperative multiagent actor-critic technique;deep multiagent reinforcement learning-enabled driving solution;DMARL;driving policies;electrified mobility;energy conservation;energy-aware cooperative driving;HDV;highway on-ramp merging scenarios;human-driven vehicles;ICT;information communication technology;intelligent connected e-mobility;lower energy consumption;mixed-autonomy traffic;road safety;SoC;state of charge;traffic flow performance;vehicle state;vehicular platoon management policies","","","","15","IEEE","24 Jul 2023","","","IEEE","IEEE Magazines"
"An Experience Aggregative Reinforcement Learning With Multi-Attribute Decision-Making for Obstacle Avoidance of Wheeled Mobile Robot","C. Hu; B. Ning; M. Xu; Q. Gu","School of Computer Engineering, Hubei University of Arts and Science, Xiangyang, China; School of Computer Engineering, Hubei University of Arts and Science, Xiangyang, China; School of Computer Science, Northwestern Polytechnical University, Xi’an, China; School of Computer Engineering, Hubei University of Arts and Science, Xiangyang, China","IEEE Access","17 Jun 2020","2020","8","","108179","108190","A variety of reinforcement learning (RL) methods are developed to achieve the motion control for the robotic systems, which has been a hot issue. However, the performance of the conventional RL methods often encounters a bottleneck, because the robots have difficulty in choosing an appropriate action in the control task due to the exploration-exploitation dilemma. To address this problem and improve the learning performance, this work introduces an experience aggregative reinforcement learning method with a Multi-Attribute Decision-Making (MADM) to achieve the real-time obstacle avoidance of wheeled mobile robot (WMR). The proposed method employs an experience aggregation method to cluster experiential samples and it can achieve more effective experience storage. Moreover, to achieve the effective action selection using the prior experience, an action selection policy based on a Multi-Attribute Decision-Making is proposed. Inspired by the hierarchical decision-making, this work decomposes the original obstacle avoidance task into two sub-tasks using a divide-and-conquer approach. Each sub-task is trained individually by a double Q-learning using a simple reward function. Each sub-task learns an action policy, which enables the sub-task to selects an appropriate action to achieve a single goal. The standardized rewards of sub-tasks are calculated when fusing these sub-tasks to eliminate differences in rewards for sub-tasks. Then, the proposed method integrates the prior experience of three trained sub-tasks via an action policy based on a MADM to complete the source task. Simulation results show that the proposed method outperforms competitors.","2169-3536","","10.1109/ACCESS.2020.3001143","Ministry of Education Science and Technology Development Center, University, Industry, Education, and Research Innovation Fund-New Generation Information Technology Innovation; Natural Science Foundation of Hubei Province(grant numbers:2013CFC026); International Science and Technology Cooperation Program of Hubei Province(grant numbers:2017AHB060); Key Programs of Science and Technology Funds of the Xiangyang city(grant numbers:2020ABA00778); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9112198","Reinforcement learning;experience aggregation;multi-attribute decision-making;obstacle avoidance;wheeled mobile robot","Task analysis;Collision avoidance;Reinforcement learning;Decision making;Mobile robots;Training","collision avoidance;decision making;learning (artificial intelligence);mobile robots;motion control","motion control;exploration-exploitation dilemma;simple reward function;WMR;MADM;multiattribute decision-making;double Q-learning;obstacle avoidance;experience aggregative reinforcement learning method;RL methods;robotic systems;wheeled mobile robot","","3","","43","CCBY","9 Jun 2020","","","IEEE","IEEE Journals"
"Symbolic Regression Methods for Reinforcement Learning","J. Kubalík; E. Derner; J. Žegklitz; R. Babuška","Czech Institute of Informatics, Robotics, and Cybernetics, Czech Technical University in Prague, Prague, Czech Republic; Czech Institute of Informatics, Robotics, and Cybernetics, Czech Technical University in Prague, Prague, Czech Republic; Faculty of Electrical Engineering, Czech Technical University in Prague, Prague, Czech Republic; Czech Institute of Informatics, Robotics, and Cybernetics, Czech Technical University in Prague, Prague, Czech Republic","IEEE Access","19 Oct 2021","2021","9","","139697","139711","Reinforcement learning algorithms can solve dynamic decision-making and optimal control problems. With continuous-valued state and input variables, reinforcement learning algorithms must rely on function approximators to represent the value function and policy mappings. Commonly used numerical approximators, such as neural networks or basis function expansions, have two main drawbacks: they are black-box models offering little insight into the mappings learned, and they require extensive trial and error tuning of their hyper-parameters. In this paper, we propose a new approach to constructing smooth value functions in the form of analytic expressions by using symbolic regression. We introduce three off-line methods for finding value functions based on a state-transition model: symbolic value iteration, symbolic policy iteration, and a direct solution of the Bellman equation. The methods are illustrated on four nonlinear control problems: velocity control under friction, one-link and two-link pendulum swing-up, and magnetic manipulation. The results show that the value functions yield well-performing policies and are compact, mathematically tractable, and easy to plug into other algorithms. This makes them potentially suitable for further analysis of the closed-loop system. A comparison with an alternative approach using neural networks shows that our method outperforms the neural network-based one.","2169-3536","","10.1109/ACCESS.2021.3119000","European Regional Development Fund under the project Robotics for Industry 4.0(grant numbers:CZ.02.1.01/0.0/0.0/15_003/0000470); Grant Agency of the Czech Republic (GA.R) titled “Symbolic Regression for Reinforcement Learning in Continuous Spaces”(grant numbers:15-22731S); Grant Agency of the Czech Technical University in Prague(grant numbers:SGS19/174/OHK3/3T/13); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9565900","Reinforcement learning;value iteration;policy iteration;symbolic regression;genetic programming;nonlinear optimal control","Mathematical models;Reinforcement learning;Genetic programming;Numerical models;Approximation algorithms;Tuning;Training","approximation theory;decision theory;function approximation;iterative methods;learning (artificial intelligence);Markov processes;nonlinear control systems;optimal control;pendulums;regression analysis","smooth value functions;off-line methods;state-transition model;symbolic value iteration;symbolic policy iteration;nonlinear control problems;velocity control;neural networks;neural network-based;symbolic regression methods;reinforcement learning algorithms;dynamic decision-making;optimal control problems;continuous-valued state;input variables;function approximators;value function;policy mappings;commonly used numerical approximators;basis function expansions;black-box models;extensive trial;error tuning","","1","","41","CCBY","8 Oct 2021","","","IEEE","IEEE Journals"
"Optimizing Reinforcement Learning Control Model in Furuta Pendulum and Transferring it to Real-World","M. R. Hong; S. Kang; J. Lee; S. Seo; S. Han; J. -S. Koh; D. Kang","Department of Mechanical Engineering, Multiscale Bio-Inspired Technology Laboratory, Ajou University, Suwon, Republic of Korea; Department of Mechanical Engineering, Multiscale Bio-Inspired Technology Laboratory, Ajou University, Suwon, Republic of Korea; Department of Sustainable Environment Research, Korea Institute of Machinery ad Materials, Daejeon, Republic of Korea; Department of Nano-Chemical, Biological and Environmental Engineering, Seokyeong University, Seoul, Seongbuk, Republic of Korea; Department of Mechanical Engineering, Multiscale Bio-Inspired Technology Laboratory, Ajou University, Suwon, Republic of Korea; Department of Mechanical Engineering, Multiscale Bio-Inspired Technology Laboratory, Ajou University, Suwon, Republic of Korea; Department of Mechanical Engineering, Multiscale Bio-Inspired Technology Laboratory, Ajou University, Suwon, Republic of Korea","IEEE Access","8 Sep 2023","2023","11","","95195","95200","Reinforcement learning does not require explicit robot modeling as it learns on its own based on data, but it has temporal and spatial constraints when transferred to real-world environments. In this research, we trained a balancing Furuta pendulum problem, which is difficult to model, in a virtual environment (Unity) and transferred it to the real world. The challenge of the balancing Furuta pendulum problem is to maintain the pendulum’s end effector in a vertical position. We resolved the temporal and spatial constraints by performing reinforcement learning in a virtual environment. Furthermore, we designed a novel reward function that enabled faster and more stable problem-solving compared to the two existing reward functions. We validate each reward function by applying it to the soft actor-critic (SAC) and proximal policy optimization (PPO). The experimental result shows that cosine reward function is trained faster and more stable. Finally, SAC algorithm model using a cosine reward function in the virtual environment is an optimized controller. Additionally, we evaluated the robustness of this model by transferring it to the real environment.","2169-3536","","10.1109/ACCESS.2023.3310405","Ajou University research fund; National Research Foundation of Korea (NRF); Korea Ministry of Science and ICT (MSIT)(grant numbers:2022R1A2C2093100); Korea Environment Industry & Technology Institute (KEITI) through Digital Infrastructure Building Project for Monitoring, Surveying and Evaluating the Environmental Health Program; Korea Ministry of Environment (MOE)(grant numbers:2021003330009); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10234431","Furuta pendulum;inverted pendulum problem;reward design;reinforcement learning;Sim2Real","Reinforcement learning;Task analysis;Virtual environments;Mathematical models;Robots;Data models;Learning systems","deep learning (artificial intelligence);end effectors;learning (artificial intelligence);optimal control;optimisation;pendulums;reinforcement learning","balancing Furuta;cosine reward function;existing reward functions;explicit robot;faster problem-solving;more stable problem-solving;optimized controller;pendulum;proximal policy optimization;real-world environments;reinforcement learning control model;SAC algorithm model;spatial constraints;temporal constraints;virtual environment","","","","18","CCBYNCND","30 Aug 2023","","","IEEE","IEEE Journals"
"Deep Reinforcement Learning-Based Smart Joint Control Scheme for On/Off Pumping Systems in Wastewater Treatment Plants","G. Seo; S. Yoon; M. Kim; C. Mun; E. Hwang","Department of Electrical Engineering and Computer Science, Gwangju Institute of Science and Technology (GIST), Gwangju, Republic of Korea; Department of Mechanical Engineering, Gwangju Institute of Science and Technology (GIST), Gwangju, Republic of Korea; Department of Electrical Engineering and Computer Science, Gwangju Institute of Science and Technology (GIST), Gwangju, Republic of Korea; Sewage Business Department, Busan Environmental Corporation, Busan, Republic of Korea; Department of Electrical Engineering and Computer Science, Gwangju Institute of Science and Technology (GIST), Gwangju, Republic of Korea","IEEE Access","13 Jul 2021","2021","9","","95360","95371","In this paper, we propose a deep reinforcement learning (DRL) based predictive control scheme for reducing the energy consumption and energy cost of pumping systems in wastewater treatment plants (WWTP), in which the pumps are operated in a binary mode, using on/off signals. As global energy consumption increases, the efficient operation of energy-intensive facilities has also become important. A WWTP in Busan, Republic of Korea is used as the target of this study. This WWTP is a large energy-consuming facility, and the pumping station accounts for a significant portion of the energy consumption of the WWTP. The framework of the proposed scheme consists of a deep neural network (DNN) model for forecasting wastewater inflow and a DRL agent for controlling the on/off signals of the pumping system, where proximal policy optimization (PPO) and deep Q-neural network (DQN) are employed as the DRL agents. To implement smart control with DRL, a reward function is designed to consider the energy consumption amount and electricity price information. In particular, new features and penalty factors for pump switching, which are essential for preventing pump wear, are also considered. The performance of our designed DRL agents is compared with those of WWTP experts and conventional approaches such as scheduling method and model predictive control (MPC), in which integer linear programming (ILP) optimization is employed. Results show that the designed agents outperform the other approaches in terms of compliance with operating rules and reducing energy costs.","2169-3536","","10.1109/ACCESS.2021.3094466","Energy AI Convergence Research & Development Program through the National IT Industry Promotion Agency of Korea (NIPA) funded by the Ministry of Science and ICT(grant numbers:1711120811); GIST Research Institute (GRI) Grant funded by the GIST in 2021; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9474446","Predictive control;deep neural network;reinforcement learning;pumping system;cost-effective energy efficiency","Job shop scheduling;Energy consumption;Wastewater;Predictive models;Tariffs;Predictive control;Forecasting","control engineering computing;cost reduction;energy consumption;integer programming;learning (artificial intelligence);linear programming;neural nets;predictive control;pricing;pumping plants;wastewater treatment;water pumps;wear","DRL agent;pump switching;WWTP experts;scheduling method;model predictive control;energy costs reduction;deep reinforcement learning;smart joint control scheme;wastewater treatment plants;predictive control scheme;global energy consumption;energy-intensive facilities;energy-consuming facility;pumping station;wastewater inflow forecasting;on-off pumping system;pump wear prevention;deep Q-neural network;Busan;Republic of Korea;proximal policy optimization;PPO;DQN;electricity price information;integer linear programming;ILP","","11","","52","CCBY","5 Jul 2021","","","IEEE","IEEE Journals"
"Deep Reinforcement Learning Tf-agent-based Object Tracking with Virtual Autonomous Drone in a Game Engine","K. Farkhodov; S. -H. Lee; I. J. Platos; K. -R. Kwon","Department of AI Convergence, Pukyong National University, Busan, South Korea; Department of Computer Engineering, Donga University, Busan, South Korea; Department of Electrical Engineering and Computer Science, VSB-Technical University of Ostrava, Czech Republic; Department of AI Convergence, Pukyong National University, Busan, South Korea","IEEE Access","","2023","PP","99","1","1","The recent development of object-tracking framework inventions has affected the performance of many manufacturing and service industries, such as product delivery, autonomous driving systems, security systems, military and transportation, retailing industries, smart cities, healthcare systems, agriculture, etc. Object tracking in physical environments and conditions is much more challenging to achieve accurate results. However, the process can be experimented using simulation techniques or platforms to evaluate and check the model’s performance under different simulation conditions and weather changes. This paper represents one of the target tracking approaches based on the reinforcement learning technique integrated with tf-agent (TensorFlow-Agent) to accomplish the tracking process in the Unreal Game Engine simulation platform, Blocks. The productivity of these platforms can be seen while experimenting in virtual-reality conditions with virtual drone agents and performing fine-tuning to achieve the best or desired performance. In this proposal, the tf-agent drone learns how to track an object integration with a deep reinforcement learning process to control the actions, states, and tracking by receiving sequential frames from a simple Blocks environment. The TF-agent is trained in a Blocks environment for adaptation to the environment and existing objects in a simulation environment for further testing and evaluation regarding the accuracy of tracking and speed. We have tested and compared two approaches to the algorithm methods based on the DQN and PPO trackers integrated with the simulation process regarding stability, rewards, and numerical performance.","2169-3536","","10.1109/ACCESS.2023.3325062","Ministry of Science and ICT, South Korea(grant numbers:IITP-2023-2016-0-00318,IITP-2023-2020-0-01797); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10286478","Object Tracking;Object Detection;Reinforcement Learning;AirSim;Virtual Environment;Virtual Simulation;tf-agent;Unreal Game Engine","Drones;Target tracking;Object tracking;Adaptation models;Deep learning;Training;Testing;Reinforcement learning;Virtual environments","","","","","","","CCBYNCND","16 Oct 2023","","","IEEE","IEEE Early Access Articles"
