Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Distributed Reinforcement Learning Control for Batch Sequencing and Sizing in Just-In-Time Manufacturing Systems","Applied Intelligence","","20","1","10.1023/B:APIN.0000011143.95085.74","Joonki HongVittaldas V. Prabhu","2004","http://link.springer.com/article/10.1023/B%3AAPIN.0000011143.95085.74","Article"
"Application of Reinforcement Learning in Production Planning and Control of Cyber Physical Production Systems","Machine Learning for Cyber Physical Systems","","","","10.1007/978-3-662-58485-9_14","Andreas KuhnleGisela Lanza","2019","http://link.springer.com/chapter/10.1007/978-3-662-58485-9_14","Chapter"
"A Study on Real-Time Scheduling for Holonic Manufacturing Systems – Determination of Utility Values Based on Multi-agent Reinforcement Learning","Holonic and Multi-Agent Systems for Manufacturing","","","","10.1007/978-3-642-03668-2_13","Koji IwamuraNorihisa MayumiYoshitaka TanimizuNobuhiro Sugimura","2009","http://link.springer.com/chapter/10.1007/978-3-642-03668-2_13","Chapter"
"A Study on Real-time Scheduling for Holonic Manufacturing Systems - Application of Reinforcement Learning -","Service Robotics and Mechatronics","","","","10.1007/978-1-84882-694-6_35","Koji IwamuraNorihisa MayumiYoshitaka TanimizuNobuhiro Sugimura","2010","http://link.springer.com/chapter/10.1007/978-1-84882-694-6_35","Chapter"
"A reinforcement learning approach for developing routing policies in multi-agent production scheduling","The International Journal of Advanced Manufacturing Technology","","33","3 - 4","10.1007/s00170-006-0465-y","Yi-Chi WangJohn M. Usher","2007","http://link.springer.com/article/10.1007/s00170-006-0465-y","Article"
"Distributed Real-Time Scheduling by Using Multi-agent Reinforcement Learning","Multi-objective Evolutionary Optimisation for Product Design and Manufacturing","","","","10.1007/978-0-85729-652-8_11","Koji IwamuraNobuhiro Sugimura","2011","http://link.springer.com/chapter/10.1007/978-0-85729-652-8_11","Chapter"
"Reinforcement learning–based design of orienting devices for vibratory bowl feeders","The International Journal of Advanced Manufacturing Technology","","105","9","10.1007/s00170-019-03798-9","Cosima StockerMarc SchmidGunther Reinhart","2019","http://link.springer.com/article/10.1007/s00170-019-03798-9","Article"
"A reinforcement learning based approach for a multiple-load carrier scheduling problem","Journal of Intelligent Manufacturing","","26","6","10.1007/s10845-013-0852-9","Ci ChenBeixin XiaBing-hai ZhouLifeng Xi","2015","http://link.springer.com/article/10.1007/s10845-013-0852-9","Article"
"Due date assignment using feedback control with reinforcement learning","IIE Transactions","","31","10","10.1023/A:1007683717133","Scott A. Moses","1999","http://link.springer.com/article/10.1023/A%3A1007683717133","Article"
"Application of a Near-Optimal Reinforcement Learning Controller to a Robotics Problem in Manufacturing: A Hybrid Approach","Fuzzy Optimization and Decision Making","","2","3","10.1023/A:1025059919437","Warren E. Hearnes IIAugustine O. Esogbue","2003","http://link.springer.com/article/10.1023/A%3A1025059919437","Article"
"Reinforcement learning of assembly robots","Experimental Robotics III","","","","10.1007/BFb0027599","Boo-Ho YangHaruhiko Asada","1994","http://link.springer.com/chapter/10.1007/BFb0027599","Chapter"
"A Concept for the Application of Reinforcement Learning in the Optimization of CAM-Generated Tool Paths","Machine Learning for Cyber Physical Systems","","","","10.1007/978-3-662-53806-7_1","Caren DripkeSara HöhrAkos CsiszarAlexander Verl","2017","http://link.springer.com/chapter/10.1007/978-3-662-53806-7_1","Chapter"
"Reinforcement learning for opportunistic maintenance optimization","Production Engineering","","13","1","10.1007/s11740-018-0855-7","Andreas KuhnleJohannes JakubikGisela Lanza","2019","http://link.springer.com/article/10.1007/s11740-018-0855-7","Article"
