Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Generic Multi-Agent Reinforcement Learning Approach for Flexible Job-Shop Scheduling","","","","","10.1007/978-3-658-39179-9","Schirin Bär","2022","http://link.springer.com/book/10.1007/978-3-658-39179-9","Book"
"Dynamic scheduling for semiconductor manufacturing systems with uncertainties using convolutional neural networks and reinforcement learning","Complex & Intelligent Systems","","8","6","10.1007/s40747-022-00844-0","Juan LiuFei QiaoMinjie ZouJonas ZinnYumin MaBirgit Vogel-Heuser","2022","http://link.springer.com/article/10.1007/s40747-022-00844-0","Article"
"Autonomous robotic additive manufacturing through distributed model‐free deep reinforcement learning in computational design environments","Construction Robotics","","6","1","10.1007/s41693-022-00069-0","Benjamin FelbrichTim SchorkAchim Menges","2022","http://link.springer.com/article/10.1007/s41693-022-00069-0","Article"
"Robust Adversarial Reinforcement Learning for Optimal Assembly Sequence Definition in a Cobot Workcell","Advances in Manufacturing III","","","","10.1007/978-3-030-99310-8_3","Alessandro AlessioKhurshid AlievDario Antonelli","2022","http://link.springer.com/chapter/10.1007/978-3-030-99310-8_3","Chapter"
"Modelling and condition-based control of a flexible and hybrid disassembly system with manual and autonomous workstations using reinforcement learning","Journal of Intelligent Manufacturing","","33","2","10.1007/s10845-021-01863-3","Marco WursterMarius MichelMarvin Carl MayAndreas KuhnleNicole StrickerGisela Lanza","2022","http://link.springer.com/article/10.1007/s10845-021-01863-3","Article"
"Deep reinforcement learning applied to an assembly sequence planning problem with user preferences","The International Journal of Advanced Manufacturing Technology","","122","11 - 12","10.1007/s00170-022-09877-8","Miguel NevesPedro Neto","2022","http://link.springer.com/article/10.1007/s00170-022-09877-8","Article"
"Deep Reinforcement Learning for Peg-in-hole Assembly Task Via Information Utilization Method","Journal of Intelligent & Robotic Systems","","106","1","10.1007/s10846-022-01713-1","Fei WangBen CuiYue LiuBaiming Ren","2022","http://link.springer.com/article/10.1007/s10846-022-01713-1","Article"
"RETRACTED ARTICLE: Deep Reinforcement Learning-Based Smart Manufacturing Plants with a Novel Digital Twin Training Model","Wireless Personal Communications","","127","1","10.1007/s11277-021-09072-0","Minghong She","2022","http://link.springer.com/article/10.1007/s11277-021-09072-0","Article"
"Applying Reinforcement Learning on Real-World Data with Practical Examples in Python","Synthesis Lectures on Artificial Intelligence and Machine Learning","","","","10.1007/978-3-031-79167-3","Philip OsborneKajal SinghMatthew E. Taylor","2022","http://link.springer.com/book/10.1007/978-3-031-79167-3","Book"
"Timed Coloured Petri Net Simulation Model for Reinforcement Learning in the Context of Production Systems","Production at the Leading Edge of Technology","","","","10.1007/978-3-030-78424-9_51","S. RiedmannJ. HarbS. Hoher","2022","http://link.springer.com/chapter/10.1007/978-3-030-78424-9_51","Chapter"
